"task_id","domain_id","prompt","possible_answers","correct_answer","path_to_media"
1204,12,"In which direction will the ball go?","left,right","right","penalty_kick/Pen4.mp4"
1205,12,"In which direction will the ball go?","left,right","right","penalty_kick/Pen5.mp4"
1206,12,"In which direction will the ball go?","left,right","right","penalty_kick/Pen6.mp4"
1207,12,"In which direction will the ball go?","left,right","right","penalty_kick/Pen7.mp4"
1208,12,"In which direction will the ball go?","left,right","right","penalty_kick/Pen8.mp4"
1209,12,"In which direction will the ball go?","left,right","right","penalty_kick/Pen9.mp4"
1210,12,"In which direction will the ball go?","left,right","left","penalty_kick/Pen10.mp4"
1211,12,"In which direction will the ball go?","left,right","right","penalty_kick/Pen11.mp4"
1212,12,"In which direction will the ball go?","left,right","left","penalty_kick/Pen12.mp4"
1213,12,"In which direction will the ball go?","left,right","left","penalty_kick/Pen13.mp4"
1214,12,"In which direction will the ball go?","left,right","left","penalty_kick/Pen14.mp4"
1215,12,"In which direction will the ball go?","left,right","left","penalty_kick/Pen15.mp4"
1216,12,"In which direction will the ball go?","left,right","right","penalty_kick/Pen16.mp4"
1217,12,"In which direction will the ball go?","left,right","left","penalty_kick/Pen17.mp4"
1218,12,"In which direction will the ball go?","left,right","left","penalty_kick/Pen18.mp4"
1219,12,"In which direction will the ball go?","left,right","left","penalty_kick/Pen19.mp4"
1220,12,"In which direction will the ball go?","left,right","left","penalty_kick/Pen20.mp4"
1901,19,"How many calories does 1 glass of milk contain?","","105","calories/asset1.png"
1902,19,"How many calories does 100g (3.5 oz) of whisky contain?","","250","calories/asset2.jpg"
1903,19,"How many calories does 100g (3.5 oz) of rice contain?","","110","calories/asset3.jpg"
1904,19,"How many calories does 1 glass of beer contain?","","105","calories/asset4.jpg"
1905,19,"How many calories does 1 tablespoon of olive contain?","","119","calories/asset5.jpg"
1906,19,"How many calories does 100g (3.5 oz) of french fries contain?","","300","calories/asset6.png"
1907,19,"How many calories does 1 apple contain?","","75","calories/asset7.jpg"
1908,19,"How many calories does 100g (3.5 oz) of chicken breast contain?","","195","calories/asset8.jpg"
1909,19,"How many calories does 1 glass of cola contain?","","110","calories/asset9.jpg"
1910,19,"How many calories does 100g (3.5 oz) of spinach contain?","","18","calories/asset10.jpg"
1911,19,"How many calories does 160g (5.6 oz) of almonds contain?","","900","calories/asset11.jpg"
1912,19,"How many calories does 120g (4.2 oz) of wine contain?","","165","calories/asset12.jpg"
1913,19,"How many calories does 1 medium vegetarian pizza contain?","","1360","calories/asset13.jpg"
1914,19,"How many calories does 100g (3.5 oz) grilled fish contain?","","109","calories/asset14.jpg"
1915,19,"How many calories does 100g (3.5 oz) of chocolate contain?","","529","calories/asset15.jpg"
1916,19,"How many calories does 6 slices of wheat bread contain?","","400","calories/asset16.jpg"
1917,19,"How many calories does 1 banana contain?","","110","calories/asset17.jpg"
1918,19,"How many calories does 100g (3.5 oz) of honey contain?","","304","calories/asset18.jpg"
1919,19,"How many calories does an 8 oz cup of coffee contain?","","2","calories/asset19.jpg"
1920,19,"How many calories does 3 eggs contain?","","353","calories/asset20.jpg"
2801,28,"In which language is the text is written?","ethiopic,khmer,burmese,hebrew,greek","ethiopic","language_text/ethiopic.png"
2802,28,"In which language is the text is written?","latin,devnagari,gujarati,cyrillic,bengali","bengali","language_text/bengali.png"
2803,28,"In which language is the text is written?","thai,sinhala,arabic,kana,chinese","arabic","language_text/arabic.png"
2804,28,"In which language is the text is written?","chinese,sinhala,ethiopic,hebrew,cyrillic","cyrillic","language_text/cyrillic.png"
2805,28,"In which language is the text is written?","greek,khmer,burmese,cyrillic,thai","khmer","language_text/khmer.png"
2806,28,"In which language is the text is written?","gurumukhi,bengali,sinhala,burmese,thai","thai","language_text/thai.png"
2807,28,"In which language is the text is written?","bengali,hebrew,arabic,maya,gurumukhi","maya","language_text/maya.png"
2808,28,"In which language is the text is written?","georgian,chinese,sinhala,bengali,tamil","georgian","language_text/georgian.png"
2809,28,"In which language is the text is written?","kana,khmer,maya,bengali,gurumukhi","gurumukhi","language_text/gurumukhi.png"
2810,28,"In which language is the text is written?","bengali,georgian,maya,thai,latin","latin","language_text/latin.png"
2811,28,"In which language is the text is written?","bengali,tamil,greek,hebrew,kana","greek","language_text/greek.png"
2812,28,"In which language is the text is written?","latin,kana,sinhala,arabic,ethiopic","kana","language_text/kana.png"
2813,28,"In which language is the text is written?","gurumukhi,burmese,khmer,arabic,chinese","chinese","language_text/chinese.png"
2814,28,"In which language is the text is written?","greek,bengali,chinese,latin,devnagari","devnagari","language_text/devnagari.png"
2815,28,"In which language is the text is written?","thai,tamil,gujarati,cyrillic,maya","gujarati","language_text/gujarati.png"
2816,28,"In which language is the text is written?","egyptian,bengali,greek,gurumukhi,chinese","egyptian","language_text/egyptian.png"
2817,28,"In which language is the text is written?","ethiopic,gujarati,maya,hebrew,georgian","hebrew","language_text/hebrew.png"
2818,28,"In which language is the text is written?","maya,sinhala,burmese,hebrew,tamil","burmese","language_text/burmese.png"
2819,28,"In which language is the text is written?","devnagari,sinhala,gujarati,tamil,bengali","sinhala","language_text/sinhala.png"
2820,28,"In which language is the text is written?","chinese,kana,tamil,devnagari,latin","tamil","language_text/tamil.png"
10000,39,"Estimate the price in USD as listed on Amazon for the following product","no answers","49.99","amazon_price/Amazon_echo_dot.jpg"
10001,39,"Estimate the price in USD as listed on Amazon for the following product","no answers","89.99","amazon_price/kindle_fire.jpg"
10002,39,"Estimate the price in USD as listed on Amazon for the following product","no answers","10.28","amazon_price/stapler.jpg"
10003,39,"Estimate the price in USD as listed on Amazon for the following product","no answers","5.99","amazon_price/wood_spoon.jpg"
10004,39,"Estimate the price in USD as listed on Amazon for the following product","no answers","388.87","amazon_price/ipad.jpg"
10005,39,"Estimate the price in USD as listed on Amazon for the following product","no answers","119.99","amazon_price/kindle_pw.jpg"
10006,39,"Estimate the price in USD as listed on Amazon for the following product","no answers","370","amazon_price/iPhone_6.jpg"
10007,39,"Estimate the price in USD as listed on Amazon for the following product","no answers","549","amazon_price/camera.jpg"
10008,39,"Estimate the price in USD as listed on Amazon for the following product","no answers","179","amazon_price/echo.jpg"
10009,39,"Estimate the price in USD as listed on Amazon for the following product","no answers","2249","amazon_price/mbp.jpg"
10010,39,"Estimate the price in USD as listed on Amazon for the following product","no answers","20","amazon_price/mouse.jpg"
10011,39,"Estimate the price in USD as listed on Amazon for the following product","no answers","5.49","amazon_price/usb.jpg"
10012,39,"Estimate the price in USD as listed on Amazon for the following product","no answers","300","amazon_price/bose.jpg"
10013,39,"Estimate the price in USD as listed on Amazon for the following product","no answers","900","amazon_price/washing.jpg"
10014,39,"Estimate the price in USD as listed on Amazon for the following product","no answers","100","amazon_price/monitor.jpg"
10015,39,"Estimate the price in USD as listed on Amazon for the following product","no answers","30","amazon_price/kb.jpg"
10016,39,"Estimate the price in USD as listed on Amazon for the following product","no answers","8","amazon_price/pendrive.jpg"
10017,39,"Estimate the price in USD as listed on Amazon for the following product","no answers","53","amazon_price/hdd.jpg"
10018,39,"Estimate the price in USD as listed on Amazon for the following product","no answers","15","amazon_price/coffee.jpg"
10019,39,"Estimate the price in USD as listed on Amazon for the following product","no answers","16","amazon_price/umb.jpg"
10020,99,"Which pair of words has the same relationship as 'Glove : Hand'?","Neck : Collar, Tie : Shirt, Socks : Feet, Coat : Pocket","Socks : Feet",NA
10021,99,"Which pair of words has the same relationship as 'Lawyer : Court'?","Chemist : Laboratory, Businessman : Office, Labor : Factory, Athlete : Olympics","Chemist : Laboratory",NA
10022,99,"Which pair of words has the same relationship as 'Letter : Word'?","Page : Book, Product : Factory, Club : People, Home work : School","Page : Book",NA
10023,99,"Which pair of words has the same relationship as 'Lively : Dull'?","Employed : Jobless, Flower : Bud, Factory : Labor, Happy : Gay","Employed : Jobless",NA
10024,99,"Which pair of words has the same relationship as 'Silence : Noise'?","Quiet : Peace, Baldness : Hair, Talk : Whisper, Sing : Dance","Baldness : Hair",NA
10025,99,"Which pair of words has the same relationship as 'Kick : Football'?","Wash : Dishes, Dust : Rage, Mop : Sweep, Throw : Ring","Throw : Ring",NA
10026,99,"Which pair of words has the same relationship as 'Scales : Fish'?","Bear : Fur, Woman : Dress, Skin : Man, Tree : Leaves","Skin : Man",NA
10027,99,"Which pair of words has the same relationship as 'Numismatist : Coins'?","Jeweler : Jewels, Cartographer : Maps, Philatelist : Stamps, Geneticist : Chromosomes","Philatelist : Stamps",NA
10028,99,"Which pair of words has the same relationship as 'Sunrise : Sunset'?","Dawn : Twilight, Noon : Midnight, Morning : Night, Energetic : Lazy","Morning : Night",NA
10029,99,"Which pair of words has the same relationship as 'Candle : Wick'?","Hammer : Nail, Light : Bulb, Oven : Fire, Bicycle : Wheel","Bicycle : Wheel",NA
10030,99,"Which pair of words has the same relationship as 'Sound : Muffled'?","Moisture : Humid, Color : Faded, Despair : Anger, Odor : Pungent","Color : Faded",NA
10031,99,"Which pair of words has the same relationship as 'Platform : Train'?","Airplane : Aerodrome, Hotel : Tourist, Quay : Ship, Footpath : Traveler","Quay : Ship",NA
10032,99,"Which pair of words has the same relationship as 'Train : Track'?","Water: Boat, Bullet : Barrel, Idea : Brain, Fame : Television","Bullet : Barrel",NA
10033,99,"Which pair of words has the same relationship as 'Chalk : Blackboard'?","Type : Point, Table : Chair, Door : Handle, Ink : Paper","Ink : Paper",NA
10034,99,"Which pair of words has the same relationship as 'Rectangle : Pentagon'?","Side : Angle, Diagonal : Perimeter, Triangle : Rectangle, Circle : Square","Triangle : Rectangle",NA
10035,99,"Which pair of words has the same relationship as 'Thermometer : Temperature'?","Millimeter : Scale, Length : Breadth, Solar Energy : Sun, Cardiograph : Heart rate","Cardiograph : Heart rate",NA
10036,99,"Which pair of words has the same relationship as 'Border : Country'?","Pen : Cap, Book : Cover, Handle : Shade, Frame : Picture","Frame : Picture",NA
10037,99,"Which pair of words has the same relationship as 'River : Ocean'?","Child : School, Book : Library, Lane : Road, Cloth : Body","Lane : Road",NA
10038,99,"Which pair of words has the same relationship as 'Arc : Circle'?","Number : Count, Fraction : Percentage, Pie : Slice, Segment : Line","Segment : Line",NA
10039,99,"Which pair of words has the same relationship as 'Passengers : Airplane'?","Audience : Theater, Birds : Nest, Sailors : Submarine, Freight : Warehouse, Students : Classroom","Sailors : Submarine",NA
10040,30,"Which artist/band interpreted this song?","Avicii, Jason Derulo, Charli XCX, Tove Lo, Calvin Harris","Avicii","artists_nameSong01.mp3"
10041,30,"Which artist/band interpreted this song?","Lady Antebellum, Charli XCX, Imagine Dragons, Drake, Sam Smith, Beyonce","Lady Antebellum","artists_nameSong02.mp3"
10042,30,"Which artist/band interpreted this song?","American Authors, Lee Brice, Miley Cyrus, Wiz Khalifa, Juicy J","American Authors","artists_nameSong03.mp3"
10043,30,"Which artist/band interpreted this song?","Beyonce, Jessie J, Ariana Grande, Nicki Minaj, Bobby Shmurda","Beyonce","artists_nameSong04.mp3"
10044,30,"Which artist/band interpreted this song?","Imagine Dragons, Zedd featuring Hayley Williams, Sam Smith, Avicii, Lorde","Imagine Dragons","artists_nameSong05.mp3"
10045,30,"Which artist/band interpreted this song?","Florida, Miley Cyrus, Jason Derulo, Michael Jackson, Justin Timberlake","Florida","artists_nameSong06.mp3"
10046,30,"Which artist/band interpreted this song?","Dierks Bentley, DJ Snake and Lil Jon, Lorde, Jake Owen, Imagine Dragons","Dierks Bentley","artists_nameSong07.mp3"
10047,30,"Which artist/band interpreted this song?","Lee Brice, One Direction, KONGOS, One Republic, Drake featuring Majid Jordan","Lee Brice","artists_nameSong08.mp3"
10048,30,"Which artist/band interpreted this song?","Jason Derulo, Imagine Dragons, Nico +ACY- Vinz, Eminem featuring Rihanna, One Republic","Jason Derulo","artists_nameSong09.mp3"
10049,30,"Which artist/band interpreted this song?","Katy Perry, Sam Smith, Nico +ACY- Vinz, Iggy Azalea featuring Charli XCX, Sia","Katy Perry","artists_nameSong10.mp3"
10050,30,"Which artist/band interpreted this song?","Kid Ink, Passenger, Brantley Gilbert, Robin Thicke, John Legend","Kid Ink","artists_nameSong11.mp3"
10051,30,"Which artist/band interpreted this song?","Lil Wayne, Bastille, Taylor Swift, Coldplay, Idina Menzel","Lil Wayne","artists_nameSong12.mp3"
10052,30,"Which artist/band interpreted this song?","Aloe Blacc, Sia, Rixton, 5 Seconds of Summer, Lorde","Aloe Blacc","artists_nameSong13.mp3"
10053,30,"Which artist/band interpreted this song?","Naughty Boy, Kid Ink featuring Chris Brown, Taylor Swift, 5 Seconds of Summer, John Legend","Naughty Boy","artists_nameSong14.mp3"
10054,30,"Which artist/band interpreted this song?","One Direction, Maroon 5, Trey Songz, Aloe Blacc, Brantley Gilbert","One Direction","artists_nameSong15.mp3"
10055,30,"Which artist/band interpreted this song?","One Republic, Lorde, MAGIC+ACE-, Jason Aldean, T.I. featuring Iggy Azalea","One Republic","artists_nameSong16.mp3"
10056,30,"Which artist/band interpreted this song?","Pharell Williams, Drake, Imagine Dragons, Naughty Boy featuring Sam Smith, Paramore","Pharell Williams","artists_nameSong17.mp3"
10057,30,"Which artist/band interpreted this song?","Bastille, Jake Owen, Avicii, Lil Wayne featuring Drake, One Direction","Bastille","artists_nameSong18.mp3"
10058,30,"Which artist/band interpreted this song?","Trey Songz, Nico +ACY- Vinz, Sara Bareilles, Avicii, Pitbull","Trey Songz","artists_nameSong19.mp3"
10059,30,"Which artist/band interpreted this song?","Calvin Harris, Kenny Chesney, KONGOS, MAGIC+ACE-, Becky G","Calvin Harris","artists_nameSong20.mp3"
10060,16,"In which year was this book published?","no answers","1605","book_release_year/question1.png"
10061,16,"In which year was this book published?","no answers","1759","book_release_year/question2.png"
10062,16,"In which year was this book published?","no answers","1666","book_release_year/question3.png"
10063,16,"In which year was this book published?","no answers","1667","book_release_year/question4.png"
10064,16,"In which year was this book published?","no answers","2007","book_release_year/question5.png"
10065,16,"In which year was this book published?","no answers","1719","book_release_year/question6.png"
10066,16,"In which year was this book published?","no answers","1726","book_release_year/question7.png"
10067,16,"In which year was this book published?","no answers","2001","book_release_year/question8.png"
10068,16,"In which year was this book published?","no answers","1951","book_release_year/question9.png"
10069,16,"In which year was this book published?","no answers","2009","book_release_year/question10.png"
10070,16,"In which year was this book published?","no answers","1813","book_release_year/question11.png"
10071,16,"In which year was this book published?","no answers","1967","book_release_year/question12.png"
10072,16,"In which year was this book published?","no answers","1847","book_release_year/question13.png"
10073,16,"In which year was this book published?","no answers","1865","book_release_year/question14.png"
10074,16,"In which year was this book published?","no answers","1890","book_release_year/question15.png"
10075,16,"In which year was this book published?","no answers","1957","book_release_year/question16.png"
10076,16,"In which year was this book published?","no answers","1915","book_release_year/question17.png"
10077,16,"In which year was this book published?","no answers","1954","book_release_year/question18.png"
10078,16,"In which year was this book published?","no answers","2004","book_release_year/question19.png"
10079,16,"In which year was this book published?","no answers","1949","book_release_year/question20.png"
10080,98,"Which of these chocolates had the highest sales revenue in the U.S. in 2016?","Reese's, Snickers, Kit Kat, Twix","Reese's",NA
10081,98,"Which of these domestic beers had the highest sales revenue in the U.S. in 2016?","Bud Light, Budweiser, Blue Moon Belgian White Ale, Pabst Blue Ribbon","Bud Light",NA
10082,98,"Which of these coffees had the highest sales revenue in the U.S. in 2016?","Starbucks, Folgers, Keurig, Maxwell House","Keurig",NA
10083,98,"Which of these luxury cars had the highest sales revenue in the U.S. in 2016?","Lexus RX, Cadillac SRX, BMW 3+AC0-Series, Mercedes+AC0-Benz C+AC0-Class","Lexus RX",NA
10084,98,"Which of these toothpastes had the highest sales revenue in the U.S. in 2016?","Weleda, Colgate, Crest, Sensodyne","Crest",NA
10085,98,"Which of these soft drinks had the highest sales revenue in the U.S. in 2016?","Diet Coke, Pepsi, Mountain Dew, Coca Cola","Coca Cola",NA
10086,98,"Which of these pizzas had the highest sales revenue in the U.S. in 2016?","Domino's Pizza, Pizza Hut, Papa John's Pizza, Sbarro","Pizza Hut",NA
10087,98,"Which of these ice creams had the highest sales revenue in the U.S. in 2016?","Breyers, Ben +ACY- Jerry's, Private Label, Haagen Dazs","Private Label",NA
10088,98,"Which of these sneakers had the highest sales revenue in the U.S. in 2016?","Addidas, Nike, Puma, Under Armour","Nike",NA
10089,98,"Which of these shampoos had the highest sales revenue in the U.S. in 2016?","Sunsilk, Head +ACY- Shoulders, Pantene, Garnier","Head +ACY- Shoulders",NA
10090,98,"Which of these retail brands had the highest sales revenue in the U.S. in 2016?","Old Navy, Gap, Nike, Ralph Lauren","Nike",NA
10091,98,"Which of these luxury retail brands had the highest sales revenue in the U.S. in 2016?","Tommy Hilfiger, Coach, Ralph Lauren, Under Armour","Ralph Lauren",NA
10092,98,"Which of these laundry detergents had the highest sales revenue in the U.S. in 2016?","Gain, Tie, Purex, Arm +ACY- Hammer","Tide",NA
10093,98,"Which of these car brands had the highest sales revenue in the U.S. in 2016?","Ford Focus, Honda Civic, Toyota Corolla, Toyota Camry","Toyota Camry",NA
10094,98,"Which of these fast food chains had the highest sales revenue in the U.S. in 2016?","McDonald's, Subway, Wendy's, Burger King","McDonald's",NA
10095,98,"Which of these laptops had the highest sales revenue in the U.S. in 2016?","Asus, Dell, Apple, Hewlett+AC0-Packard","Dell",NA
10096,98,"Which of these fast food chains had the highest sales revenue in the U.S. in 2016?","KFC, Popeyes, Pizza Hut, Burger King","Burger King",NA
10097,98,"Which of these furniture stores had the highest sales revenue in the U.S. in 2016?","Pier 1 Imports, IKEA, Ashley Furniture Home Stores, Williams+AC0-Sonoma","Ashley Furniture Home Stores",NA
10098,98,"Which of these cereals had the highest sales revenue in the U.S. in 2016?","Froot Loops, Honey Nut Cheerios, Frosted Flakes, Cinnamon Toast Crunch","Honey Nut Cheerios",NA
10099,98,"Which of these mobile carriers had the highest sales revenue in the U.S. in 2016?","T+AC0-mobile, Verizon, Sprint, AT+ACY-T","Verizon",NA
10100,40,"Will the following product be funded by Kickstarter?","Unsuccessful, Succesful","Unsuccessful","business_idea/asset1.png"
10101,40,"Will the following product be funded by Kickstarter?","Unsuccessful, Succesful","Unsuccessful","business_idea/asset2.png"
10102,40,"Will the following product be funded by Kickstarter?","Unsuccessful, Succesful","Successful","business_idea/asset3.png"
10103,40,"Will the following product be funded by Kickstarter?","Unsuccessful, Succesful","Successful","business_idea/asset4.jpg"
10104,40,"Will the following product be funded by Kickstarter?","Unsuccessful, Succesful","Unsuccessful","business_idea/asset5.png"
10105,40,"Will the following product be funded by Kickstarter?","Unsuccessful, Succesful","Successful","business_idea/asset6.png"
10106,40,"Will the following product be funded by Kickstarter?","Unsuccessful, Succesful","Successful","business_idea/asset7.png"
10107,40,"Will the following product be funded by Kickstarter?","Unsuccessful, Succesful","Unsuccessful","business_idea/asset8.png"
10108,40,"Will the following product be funded by Kickstarter?","Unsuccessful, Succesful","Unsuccessful","business_idea/asset9.png"
10109,40,"Will the following product be funded by Kickstarter?","Unsuccessful, Succesful","Successful","business_idea/asset10.png"
10110,40,"Will the following product be funded by Kickstarter?","Unsuccessful, Succesful","Successful","business_idea/asset11.png"
10111,40,"Will the following product be funded by Kickstarter?","Unsuccessful, Succesful","Unsuccessful","business_idea/asset12.png"
10112,40,"Will the following product be funded by Kickstarter?","Unsuccessful, Succesful","Unsuccessful","business_idea/asset13.png"
10113,40,"Will the following product be funded by Kickstarter?","Unsuccessful, Succesful","Successful","business_idea/asset14.png"
10114,40,"Will the following product be funded by Kickstarter?","Unsuccessful, Succesful","Unsuccessful","business_idea/asset15.png"
10115,40,"Will the following product be funded by Kickstarter?","Unsuccessful, Succesful","Successful","business_idea/asset16.png"
10116,40,"Will the following product be funded by Kickstarter?","Unsuccessful, Succesful","Unsuccessful","business_idea/asset17.png"
10117,40,"Will the following product be funded by Kickstarter?","Unsuccessful, Succesful","Successful","business_idea/asset18.png"
10118,40,"Will the following product be funded by Kickstarter?","Unsuccessful, Succesful","Successful","business_idea/asset19.png"
10119,40,"Will the following product be funded by Kickstarter?","Unsuccessful, Succesful","Unsuccessful","business_idea/asset20.png"
10120,11,"In what year was the car manufactured ?","no answers","1955","car_manufacture_year/Ford_img1.png"
10121,11,"In what year was the car manufactured ?","no answers","1993","car_manufacture_year/Ford_img2.png"
10122,11,"In what year was the car manufactured ?","no answers","1994","car_manufacture_year/Ford_img3.png"
10123,11,"In what year was the car manufactured ?","no answers","1996","car_manufacture_year/Ford_img4.png"
10124,11,"In what year was the car manufactured ?","no answers","1997","car_manufacture_year/Ford_img5.png"
10125,11,"In what year was the car manufactured ?","no answers","1998","car_manufacture_year/Ford_img6.png"
10126,11,"In what year was the car manufactured ?","no answers","2003","car_manufacture_year/Ford_img7.png"
10127,11,"In what year was the car manufactured ?","no answers","2005","car_manufacture_year/Ford_img8.png"
10128,11,"In what year was the car manufactured ?","no answers","2006","car_manufacture_year/Ford_img9.png"
10129,11,"In what year was the car manufactured ?","no answers","2011","car_manufacture_year/Ford_img10.png"
10130,11,"In what year was the car manufactured ?","no answers","2014","car_manufacture_year/Ford_img11.png"
10131,11,"In what year was the car manufactured ?","no answers","2015","car_manufacture_year/Ford_img12.png"
10132,11,"In what year was the car manufactured ?","no answers","1950","car_manufacture_year/Ford_img13.png"
10133,11,"In what year was the car manufactured ?","no answers","1975","car_manufacture_year/Ford_img14.png"
10134,11,"In what year was the car manufactured ?","no answers","1975","car_manufacture_year/Ford_img15.png"
10135,11,"In what year was the car manufactured ?","no answers","2015","car_manufacture_year/Ford_img16.png"
10136,11,"In what year was the car manufactured ?","no answers","1980","car_manufacture_year/Ford_img17.png"
10137,11,"In what year was the car manufactured ?","no answers","1990","car_manufacture_year/Ford_img18.png"
10138,11,"In what year was the car manufactured ?","no answers","2016","car_manufacture_year/Ford_img19.png"
10139,11,"In what year was the car manufactured ?","no answers","1930","car_manufacture_year/Ford_img20.png"
10140,5,"How old is Beyonce Knowles?","no answers","35",NA
10141,5,"How old is Bruno Mars?","no answers","31",NA
10142,5,"How old is Calvin Harris?","no answers","33",NA
10143,5,"How old is Dr. Dre?","no answers","52",NA
10144,5,"How old is Ellen Degeneres?","no answers","59",NA
10145,5,"How old is Brad Pitt?","no answers","52",NA
10146,5,"How old is Jay Z?","no answers","47",NA
10147,5,"How old is Jennifer Lawrence?","no answers","26",NA
10148,5,"How old is Kanye West?","no answers","39",NA
10149,5,"How old is Katie Perry?","no answers","32",NA
10150,5,"How old is Kobe Bryant?","no answers","40",NA
10151,5,"How old is Lady Gaga?","no answers","32",NA
10152,5,"How old is Madonna?","no answers","58",NA
10153,5,"How old is Miley Cyrus?","no answers","25",NA
10154,5,"How old is Oprah Winfrey?","no answers","65",NA
10155,5,"How old is Rihanna?","no answers","31",NA
10156,5,"How old is Robert Downey Jr.?","no answers","53",NA
10157,5,"How old is Roger Federer?","no answers","37",NA
10158,5,"How old is Stephen Spielberg?","no answers","72",NA
10159,5,"How old is Taylor Swift?","no answers","29",NA
10160,52,"Who composed this piece ?","Johannes Brahms, Frederic Chopin, Jules Massenet, Johann Sebastian Bach, Carl Orff","Johann Sebastian Bach","classical_composition/bach_allegro.mp3"
10161,52,"Who composed this piece ?","Piotr Ilyich Tchaikovsky, Johann Sebastian Bach, Johann Strauss II, Edvard Grieg, Wolfgang Amadeus Mozart","Edvard Grieg","classical_composition/grieg_morning_mood.mp3"
10162,52,"Who composed this piece ?","Johann Sebastian Bach, Richard Wagner, Carl Orff, Wolfgang Amadeus Mozart, Frederic Chopin","Richard Wagner","classical_composition/wagner_valkyries.mp3"
10163,52,"Who composed this piece ?","Ludwig van Beethoven, Frederic Chopin, Wolfgang Amadeus Mozart, Johann Strauss II, Claude Debussy","Ludwig van Beethoven","classical_composition/beethoven_fur_elise.mp3"
10164,52,"Who composed this piece ?","Johann Sebastian Bach, Claude Debussy, Frederic Chopin, Antonio Vivaldi, Ludwig van Beethoven","Ludwig van Beethoven","classical_composition/beethoven_moonlight_sonata.mp3"
10165,52,"Who composed this piece ?","Richard Wagner, Edvard Grieg, Antonio Vivaldi, Wolfgang Amadeus Mozart, Johann Sebastian Bach","Antonio Vivaldi","classical_composition/vivaldi_four_seasons.mp3"
10166,52,"Who composed this piece ?","Edvard Grieg, Wolfgang Amadeus Mozart, Richard Wagner, Jules Massenet, Claude Debussy","Claude Debussy","classical_composition/debussy_claire_de_lune.mp3"
10167,52,"Who composed this piece ?","Antonio Vivaldi, Piotr Ilyich Tchaikovsky, Ludwig van Beethoven, Jules Massenet, George Frideric Handel","Piotr Ilyich Tchaikovsky","classical_composition/tchaikovsky_swan_lake.mp3"
10168,52,"Who composed this piece ?","Claude Debussy, Frederic Chopin, Ludwig van Beethoven, Edvard Grieg, Piotr Ilyich Tchaikovsky","Frederic Chopin","classical_composition/chopin_nocturnes.mp3"
10169,52,"Who composed this piece ?","Edvard Grieg, Johann Sebastian Bach, Ludwig van Beethoven, George Frideric Handel, Piotr Ilyich Tchaikovsky","Johann Sebastian Bach","classical_composition/bach_air.mp3"
10170,52,"Who composed this piece ?","George Frideric Handel, Johannes Brahms, Wolfgang Amadeus Mozart, Piotr Ilyich Tchaikovsky, Johann Sebastian Bach","Johannes Brahms","classical_composition/brahms_hungarian_dance.mp3"
10171,52,"Who composed this piece ?","Ludwig van Beethoven, Piotr Ilyich Tchaikovsky, Wolfgang Amadeus Mozart, Edvard Grieg, Carl Orff","Wolfgang Amadeus Mozart","classical_composition/mozart_symphony_40_I.mp3"
